Date,Google,Apple,Amazon,Microsoft,Facebook,Berkshire Hathaway,Walmart,Tesla,Johnson& Johnson,Visa,Disney,Netflix,Coca-Cola,Proter & Gamble,Bank Of America
2005-03-31,1257,3243,1902,9620,0,17634,71680,0,12310,0,7164,152,5206,12831,19827
2005-06-30,1384,3520,1753,10161,0,18128,76697,0,12610,0,7715,164,5226,14258,21547
2005-09-30,1578,3678,1858,9741,0,20533,75397,0,12762,0,7829,173,5551,14287,21650
2005-12-31,1919,5749,2977,11837,0,25368,88327,0,12992,0,7954,193,5932,14793,22040
2006-03-31,2254,4359,2279,10900,0,22763,79676,0,13287,0,8027,224,6037,15605,27040
2006-06-30,2456,4370,2139,11804,0,24185,85430,0,13363,0,8087,239,6103,15755,28886
2006-09-30,2690,4837,2307,10811,0,25360,84467,0,13682,0,8392,256,6310,16079,30270
2006-12-31,3206,7115,3986,12542,0,26231,98795,0,14970,941,8474,277,6454,16102,30571
2007-03-31,3664,5264,3015,14398,0,32918,86410,0,14982,2029,8580,294,6476,16281,30447
2007-06-30,3872,5410,2886,13371,0,27347,92999,0,15026,1739,8596,302,7126,16462,32468
2007-09-30,4231,6789,3262,13762,0,29937,91865,0,15037,845,8710,304,7150,16503,29513
2007-12-31,4827,9608,5672,16367,0,28043,105749,0,15081,1646,8854,305,7169,16518,27268
2008-03-31,5186,7512,4135,14454,0,25175,94940,0,15131,813,8930,326,7331,16527,28939
2008-06-30,5367,7464,4063,15837,0,30093,102342,0,15182,1709,9045,338,7379,16653,29816
2008-09-30,5541,12907,4264,15061,0,27926,98345,0,15239,1647,9077,341,7510,16690,30175
2008-12-31,5701,11880,6704,16629,0,24592,108627,0,15330,1959,9236,360,7525,16856,24176
2009-03-31,5509,9084,4889,13648,0,22784,94242,0,15631,1960,9445,394,7626,16915,45417
2009-06-30,5523,9734,4651,13099,0,29607,100876,27,15644,2117,9581,409,7690,16930,40736
2009-09-30,5945,12207,5449,12920,0,29904,99373,46,15921,1613,9599,423,7733,17094,33135
2009-12-31,6674,15683,9520,19022,0,30198,113594,47,15957,991,9629,445,8044,17214,31162
2010-03-31,6775,13499,7131,14503,345,32037,99811,21,16005,2322,9739,494,8267,17250,38099
2010-06-30,6820,15700,6566,16039,431,31709,103726,28,16139,2547,9742,520,8314,17395,35372
2010-09-30,7286,20343,7560,16195,467,36274,101952,31,16173,2238,9867,553,8393,17438,32474
2010-12-31,8440,26741,12947,19953,731,36165,116360,36,16194,1488,10002,596,8426,17555,28249
2011-03-31,8575,24667,9857,16428,731,33720,104189,49,16255,2383,10425,719,8478,17628,32620
2011-06-30,9026,28571,9913,17367,895,38274,109366,58,16450,1453,10452,789,8601,17698,19038
2011-09-30,9720,28270,10876,17372,954,33739,110226,58,16475,2578,10554,822,8652,17790,33816
2011-12-31,10584,46333,17431,20885,1131,37955,122728,39,16551,1879,10675,870,8674,17798,29600
2012-03-31,10645,39186,13185,17407,1058,38147,113010,30,16597,2245,10716,876,8694,17842,26893
2012-06-30,11807,35023,12834,18059,1184,38546,114282,27,17052,2565,10779,889,8775,17864,26412
2012-09-30,13304,35966,13806,16008,1262,41050,113800,50,17102,3518,10782,905,9046,17994,24466
2012-12-31,10283,54512,21268,21456,1585,44720,127559,306,17374,3382,11088,945,9068,18084,22307
2013-03-31,12951,43603,16070,20489,1458,43867,114070,562,17482,3565,11341,1024,9078,18240,26634
2013-06-30,13107,35323,15704,19896,1813,44693,116830,405,17505,2846,11568,1069,9118,18337,26003
2013-09-30,13754,37472,17092,18529,2016,46541,115688,431,17558,2731,11578,1106,9409,18495,24646
2013-12-31,15707,57594,25586,24519,2585,47049,129706,615,17575,3001,11649,1175,9421,18538,24414
